Date,Open,High,Low,Close,Volume,MA5,MA20,Daily_Return
2025-12-24,225.5,227.5,224.0,224.0,36443763,221.9,225.3,0.0
2025-12-26,225.5,227.5,224.5,225.5,28935431,223.8,225.025,0.6696428571428603
2025-12-29,227.0,233.0,226.5,231.0,57945280,225.7,225.3,2.4390243902439046
2025-12-30,230.5,231.0,228.0,228.0,36162418,226.5,225.6,-1.2987012987012991
2025-12-31,228.5,231.5,228.0,230.5,41319239,227.8,226.025,1.0964912280701844
2026-01-02,232.0,233.5,229.0,232.0,58776015,229.4,226.275,0.6507592190889477
2026-01-05,234.5,236.0,233.5,234.5,64697110,231.2,226.575,1.0775862068965525
2026-01-06,237.0,239.0,232.5,236.0,68919645,232.2,226.825,0.6396588486140775
2026-01-07,237.5,241.5,235.0,238.5,88280139,234.3,227.15,1.0593220338983134
2026-01-08,237.5,237.5,228.5,229.5,89498594,234.1,226.875,-3.7735849056603765
2026-01-09,230.0,232.0,227.0,230.5,37370013,233.8,226.725,0.43572984749455923
2026-01-12,233.0,233.0,228.5,228.5,32968055,232.6,226.85,-0.8676789587852451
2026-01-13,230.0,230.5,226.0,226.5,45735375,230.7,226.825,-0.8752735229759279
2026-01-14,228.0,234.5,227.5,234.5,65365361,229.9,227.475,3.532008830022071
2026-01-15,234.0,234.0,231.0,233.5,35041875,230.7,228.25,-0.4264392324093813
2026-01-16,235.0,235.0,231.0,234.5,48950439,231.5,229.15,0.4282655246252709
2026-01-19,233.5,233.5,229.0,229.5,53439088,231.7,229.825,-2.1321961620469065
2026-01-20,228.5,228.5,223.5,223.5,77123735,231.1,229.925,-2.614379084967322
2026-01-21,221.0,225.0,219.0,219.0,81041618,228.0,229.675,-2.0134228187919434
2026-01-22,223.5,226.0,222.0,223.5,47823356,226.0,229.65,2.0547945205479534
2026-01-23,225.5,226.5,221.5,221.5,34322647,223.4,229.525,-0.8948545861297563
2026-01-26,222.5,225.0,220.0,224.0,39852299,222.3,229.45,1.1286681715575675
2026-01-27,226.0,227.0,224.0,225.5,37140264,222.7,229.175,0.6696428571428603
2026-01-28,227.0,231.5,224.0,225.5,80017265,224.0,229.05,0.0
2026-01-29,226.5,227.5,222.0,224.0,56613117,224.1,228.725,-0.6651884700665134
2026-01-30,223.5,223.5,218.5,220.5,72547288,223.9,228.15,-1.5625
2026-02-02,219.5,220.0,213.5,214.5,65660345,222.0,227.15,-2.7210884353741527
2026-02-03,218.5,220.0,214.5,216.5,42920416,220.2,226.175,0.932400932400923
2026-02-04,214.5,219.0,214.0,219.0,27678218,218.9,225.2,1.1547344110854452
2026-02-05,217.5,220.0,215.0,215.5,43304385,217.2,224.5,-1.5981735159817378
2026-02-06,215.0,216.5,210.5,215.0,56581372,216.1,223.725,-0.23201856148491462
2026-02-09,219.0,220.5,217.5,218.5,31063914,216.9,223.225,1.6279069767441756
2026-02-10,220.0,222.0,218.0,221.0,47159412,217.8,222.95,1.1441647597254079
2026-02-11,222.5,227.0,220.5,227.0,67662179,219.4,222.575,2.714932126696823
2026-02-23,229.5,231.0,227.0,228.5,89438337,222.0,222.325,0.6607929515418443
2026-02-24,229.5,232.5,228.0,232.0,68380419,225.4,222.2,1.5317286652078765
2026-02-25,235.0,247.0,234.5,246.5,168289021,231.0,223.05,6.25
2026-02-26,253.5,253.5,241.5,243.0,122692650,235.4,224.025,-1.4198782961460488
2026-03-02,234.0,241.0,232.5,239.0,75106481,237.8,225.025,-1.6460905349794275
2026-03-03,239.0,240.0,228.0,229.0,87819659,237.9,225.3,-4.184100418410042
2026-03-04,224.5,225.0,216.5,217.0,122301965,234.9,225.075,-5.2401746724890845
2026-03-05,224.5,228.0,222.0,224.0,55660316,230.4,225.075,3.2258064516129004
2026-03-06,221.0,223.5,219.0,223.0,37319287,226.4,224.95,-0.44642857142856984
2026-03-09,208.0,212.5,206.0,210.5,93407607,220.7,224.2,-5.605381165919288
2026-03-10,216.0,216.5,209.5,209.5,69438646,216.8,223.475,-0.47505938242280443
2026-03-11,212.5,220.0,212.5,219.0,54702636,217.2,223.4,4.534606205250591
2026-03-12,217.0,218.5,213.0,214.5,45309134,215.3,223.4,-2.0547945205479423
2026-03-13,211.5,216.0,210.0,214.5,36890490,213.6,223.3,0.0
2026-03-16,216.0,217.5,214.0,216.5,38534463,214.8,223.175,0.932400932400923
2026-03-17,215.5,216.5,212.0,212.0,110777320,215.3,223.0,-2.0785219399538146
2026-03-18,212.5,213.5,210.0,210.0,77136445,213.5,222.75,-0.9433962264150941
2026-03-19,207.5,207.5,205.0,205.0,89096476,211.6,222.075,-2.3809523809523836
2026-03-20,203.5,205.0,200.5,203.0,92925929,209.3,221.175,-0.9756097560975618
2026-03-23,196.5,197.5,195.0,196.0,78470506,205.2,219.625,-3.4482758620689613
2026-03-24,198.5,199.5,194.0,195.0,56280296,201.8,217.95,-0.5102040816326481
2026-03-25,200.0,201.0,197.0,200.0,43133240,199.8,216.35,2.564102564102555
2026-03-26,202.5,206.0,200.5,200.5,41973121,198.9,214.05,0.24999999999999467
2026-03-27,197.0,200.5,196.5,199.5,29525374,198.2,211.875,-0.4987531172069848
2026-03-30,194.5,195.5,193.0,194.0,46503907,197.8,209.625,-2.7568922305764465
2026-03-31,191.0,192.5,187.5,187.5,95729350,196.3,207.55,-3.350515463917525
2026-04-01,195.0,197.5,194.5,197.0,45229464,195.7,206.55,5.066666666666664
2026-04-02,198.0,199.0,191.5,193.0,41954568,194.2,205.0,-2.030456852791873
2026-04-07,195.0,195.5,189.5,192.0,36598072,192.7,203.45,-0.5181347150259086
2026-04-08,196.5,202.0,196.5,201.5,66909375,194.2,203.0,4.947916666666674
2026-04-09,201.0,201.5,198.0,200.0,43945793,196.7,202.525,-0.7444168734491274
2026-04-10,200.5,202.5,199.5,200.5,60470665,197.4,201.6,0.24999999999999467
2026-04-13,200.0,202.5,198.5,200.0,37375471,198.8,200.875,-0.24937655860348684
2026-04-14,204.0,208.0,203.5,207.5,58959164,201.9,200.525,3.750000000000009
2026-04-15,211.5,211.5,206.5,207.5,71250931,203.1,200.075,0.0
2026-04-16,207.5,211.0,206.0,207.0,45261862,204.5,199.825,-0.24096385542168308
2026-04-17,207.5,209.5,203.5,206.0,48943270,205.6,199.625,-0.48309178743961567
2026-04-20,206.0,209.5,204.5,207.5,39312365,207.1,199.75,0.728155339805836
2026-04-21,210.0,213.0,209.5,211.0,59285018,207.8,200.15,1.6867469879518149
2026-04-22,213.0,223.5,212.5,221.0,140959574,210.5,201.4,4.739336492891
2026-04-23,229.5,233.0,218.0,225.0,172706743,214.1,202.9,1.8099547511312153
2026-04-24,227.0,227.0,218.0,221.5,77230253,217.2,203.975,-1.5555555555555545
2026-04-27,224.0,230.0,220.0,228.0,109457408,221.3,205.35,2.934537246049662
2026-04-28,230.0,234.0,225.0,225.5,104089860,224.2,206.65,-1.0964912280701733
2026-04-29,226.0,226.0,222.0,225.0,43603455,225.0,208.2,-0.22172949002217113
2026-04-30,224.5,230.0,219.5,219.5,73683654,223.9,209.8,-2.444444444444449
